CASE_ENQUIRY_ID,OPEN_DT,CLOSED_DT,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,LATITUDE,LONGITUDE,Source
101000471300,08/29/2012 01:17:14 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,9 Greenwich Park  Roxbury  MA  02118,4,1C,7,D4,South End,6,Ward 4,404,CM,9 Greenwich Park,02118,42.342561,-71.080109,Constituent Call
101000470939,08/29/2012 08:25:31 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,20-22 Spaulding St  Dorchester  MA  02122,8,07,3,C11,Dorchester,7,Ward 16,1607,R2,20-22 Spaulding St,02122,42.292183,-71.054972,Constituent Call
101000470705,08/28/2012 06:08:11 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,4 Downer Ct  Dorchester  MA  02125,7,03,3,C11,Dorchester,8,Ward 15,1504,RL,4 Downer Ct,02125,42.309613,-71.064377,Constituent Call
101000470689,08/28/2012 06:07:42 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,81-83 Millet St  Dorchester  MA  02124,8,07,4,B3,Dorchester,9,Ward 17,1703,R2,81-83 Millet St,02124,42.29371,-71.07717,Constituent Call
101000470280,08/27/2012 11:29:34 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,INTERSECTION of A St & Binford St  Boston  MA  ,6,05,2,C6,South Boston / South Boston Waterfront,5,Ward 6,601,,INTERSECTION A St & Binford St,,42.344837,-71.053148,Self Service
101000470244,08/27/2012 10:58:55 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,30 Glenville Ave  Allston  MA  02134,11,04,9,D14,Allston / Brighton,15,Ward 21,2105,CD,30 Glenville Ave,02134,42.3503,-71.13293,Constituent Call
101000470238,08/27/2012 10:52:01 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,8 Greenwich Park  Roxbury  MA  02118,4,1C,7,D4,South End,6,Ward 4,404,CM,8 Greenwich Park,02118,42.34229,-71.08036,Constituent Call
101000469952,08/26/2012 06:22:11 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,26 Chestnut St  Boston  MA  02108,3,1B,8,A1,Beacon Hill,14,Ward 5,503,A,26 Chestnut St,02108,42.357391,-71.06746,Constituent Call
101000469783,08/25/2012 10:50:52 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,46 Fenway  Boston  MA  02215,4,10A,8,D4,Fenway / Kenmore / Audubon Circle / Longwood,14,Ward 4,407,CM,46 Fenway,02215,42.34505,-71.09033,Self Service
101000469360,08/24/2012 11:17:19 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,28 Haviland St  Boston  MA  02115,4,10A,8,D4,Fenway / Kenmore / Audubon Circle / Longwood,14,Ward 4,406,RC,28 Haviland St,02115,42.346115,-71.089022,Self Service
101000469213,08/24/2012 09:14:42 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,18 Garden St  Boston  MA  02114,3,1B,8,A1,Beacon Hill,14,Ward 5,504,CD,18 Garden St,02114,42.36074,-71.06677,Constituent Call
